Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0040C1D9  push topprobe.6B1288                                              L"Version 1.7.5, build 1551, May  1 2012"
0040C1DE  push topprobe.6AD848                                              L"TopJTAG Probe"
0040C376  push topprobe.6B13D0                                              L"Unable to open %s;\nthis is likely due to an unsupported file type."
0040C393  push topprobe.6AD848                                              L"TopJTAG Probe"
0040C443  push topprobe.6D3030                                              L"filedlg"
0040C459  push topprobe.6B1478                                              L"Project Files (*.topprobe;*.scs)|*.topprobe;*.scs|All Files (*.*)|*.*"
0040C4A9  push topprobe.6B1458                                              L"Open Project"
0040C6C4  push topprobe.6AF040                                              "invalid string position"
0040C6E5  push topprobe.6AF058                                              "string too long"
0040C703  push topprobe.6AF058                                              "string too long"
0040C955  push topprobe.6AF040                                              "invalid string position"
0040C995  push topprobe.6AF058                                              "string too long"
0040CA9E  push topprobe.6AF058                                              "string too long"
0040CB45  push topprobe.6AF040                                              "invalid string position"
0040CB82  push topprobe.6AF058                                              "string too long"
0040CCC2  push topprobe.6B1504                                              L"Pin Name"
0040CD71  mov eax,topprobe.6B1504                                           L"Pin Name"
0040CFE7  push topprobe.6AF058                                              "string too long"
0040D004  push topprobe.6AF058                                              "string too long"
0040D370  push topprobe.6AF058                                              "string too long"
0040D621  push topprobe.6AD864                                              "vector<T> too long"
0040D809  push topprobe.6AD864                                              "vector<T> too long"
0040E014  push topprobe.6B168C                                              "crportio"
0040E02D  push topprobe.6B167C                                              L"TopJTAG"
0040E06F  push topprobe.6AD848                                              L"TopJTAG Probe"
0040E0BF  push topprobe.6AD848                                              L"TopJTAG Probe"
0040E0D9  push topprobe.6B15A0                                              L"The program cannot run on this computer: the hardware does not support a high-resolution performance counter."
0040E161  push topprobe.6B1560                                              L"msw.notebook.themed-background"
0040E1BB  push topprobe.6B154C                                              L"msw.remap"
0040E1DF  push topprobe.6B154C                                              L"msw.remap"
0040E285  push topprobe.6B1530                                              L"%s Evaluation"
0040E342  mov eax,topprobe.6B1530                                           L"%s Evaluation"
0040E3B9  push topprobe.6B1518                                              L"/mfrid.dat"
0040E639  push topprobe.6AD848                                              L"TopJTAG Probe"
0040E8FE  push topprobe.6B173C                                              L"Integrity Check Error"
0040E99B  push topprobe.6B16E0                                              L"Ignore this warning and run the scan anyway?"
0040E9A8  push topprobe.6B16AC                                              L"Integrity Check Warning"
0040EA4B  push topprobe.6B16A0                                              L"SCAN"
0040EA79  push topprobe.6B1698                                              L"..."
0040EBFB  push topprobe.6B176C                                              L"BSDL File"
0040EC8D  mov eax,topprobe.6B176C                                           L"BSDL File"
0040F4A2  push topprobe.6B126C                                              "invalid map/set<T> iterator"
0040FA3F  push topprobe.6B0F1C                                              L"signals"
0040FA4F  push topprobe.6B0F2C                                              L"watch"
0040FA77  push topprobe.6AF734                                              L"waveform"
0040FC78  push topprobe.6AD864                                              "vector<T> too long"
0040FED9  push topprobe.6B1194                                              "list<T> too long"
004102D4  push topprobe.6B1820                                              L"<%d>"
00410385  push topprobe.6B1818                                              L"   "
00410448  push topprobe.6B17F4                                              L"Set to &0\tCtrl+0"
00410457  push topprobe.6B17D0                                              L"Set to &1\tCtrl+1"
00410466  push topprobe.6B17AC                                              L"Set to &Z\tCtrl+Z"
00410475  push topprobe.6B178C                                              L"&Toggle\tCtrl+T"
00410485  push topprobe.6B1780                                              L"error"
00410AF7  push topprobe.6B1860                                              L"   Set &Bus Value...\tCtrl+B"
00410B06  push topprobe.6B182C                                              L"Set &Bus Value...\tCtrl+B"
00410B49  push topprobe.6B182C                                              L"Set &Bus Value...\tCtrl+B"
00410D0C  push topprobe.6B18CC                                              L"   Set Bus to &Recent Value"
00410D1B  push topprobe.6B1898                                              L"Set Bus to &Recent Value"
00410E07  push topprobe.6B1898                                              L"Set Bus to &Recent Value"
00410FE7  push topprobe.6B1938                                              L"   Set Bus to All &Z\tCtrl+Z"
00410FF6  push topprobe.6B1904                                              L"Set Bus to All &Z\tCtrl+Z"
00411039  push topprobe.6B1904                                              L"Set Bus to All &Z\tCtrl+Z"
00411131  push topprobe.6B0F1C                                              L"signals"
00411147  push topprobe.6AF734                                              L"waveform"
00411251  push topprobe.6B0F1C                                              L"signals"
00411267  push topprobe.6B0F2C                                              L"watch"
004113BB  push topprobe.6AD864                                              "vector<T> too long"
004114FA  push topprobe.6AD864                                              "vector<T> too long"
00411852  push topprobe.6AD864                                              "vector<T> too long"
00411CFA  push topprobe.6AF71C                                              L"Warning"
00411D12  push topprobe.6B1A18                                              L"At least one of the devices has been left in EXTEST or INTEST mode. Proceeding with examining the chain will reset the JTAG test logic.\n\nProceed with examining the chain?"
00411EC9  push topprobe.6B19EC                                              L"ATmega Bug Workaround"
00411FFD  push topprobe.6AD848                                              L"TopJTAG Probe"
0041200D  push topprobe.6B19A0                                              L"Failed to capture JTAG chain IR bits."
00412078  push topprobe.6AD848                                              L"TopJTAG Probe"
00412088  push topprobe.6B1970                                              L"No JTAG chain detected."
00412148  push topprobe.6AD864                                              "vector<T> too long"
00412272  push topprobe.6B1B70                                              L"Add Signal"
004123A0  mov eax,topprobe.6B1B70                                           L"Add Signal"
00412422  push topprobe.6B1B70                                              L"Add Signal"
0041254F  mov eax,topprobe.6B1B70                                           L"Add Signal"
0041260E  push topprobe.6AD864                                              "vector<T> too long"
00412852  push topprobe.6B126C                                              "invalid map/set<T> iterator"
004131EA  push topprobe.6B1B88                                              L"Edit Pin Names and Buses"
004133BC  mov eax,topprobe.6B1B88                                           L"Edit Pin Names and Buses"
00413A1C  push topprobe.6AD848                                              L"TopJTAG Probe"
00413A31  push topprobe.6B1C10                                              L"Failed to initialize a JTAG connection."
00414208  push topprobe.6AD864                                              "vector<T> too long"
00414268  push topprobe.6AD864                                              "vector<T> too long"
004142A9  push topprobe.6B1C60                                              "map/set<T> too long"
004144D9  push topprobe.6B1C60                                              "map/set<T> too long"
0041477E  push topprobe.6B1194                                              "list<T> too long"
00414960  push topprobe.6AD864                                              "vector<T> too long"
004149E5  push topprobe.6B126C                                              "invalid map/set<T> iterator"
00414C35  push topprobe.6B126C                                              "invalid map/set<T> iterator"
00415447  push topprobe.6B1D6C                                              L"Components"
0041559A  push topprobe.6B1D58                                              L"Component"
00415648  push topprobe.6AD840                                              L"%d"
00415665  push topprobe.6B1D40                                              L"PosInChain"
004156E4  push topprobe.6B1D34                                              L"Name"
00415792  push topprobe.6B1D20                                              L"BsdlFile"
00415865  push topprobe.6B1D14                                              L"BSDL"
0041592E  push topprobe.6AD840                                              L"%d"
00415944  push topprobe.6B1D08                                              L"IRLen"
004159A9  push topprobe.6B1CF0                                              L"PinMapping"
00415A54  push topprobe.6B1CE0                                              L"Package"
00415AD9  push topprobe.6AD840                                              L"%d"
