Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
003C1231  mov dword ptr ds:[eax+edx-20],hddled.41BFD4                       "a2<"
003C1267  mov dword ptr ds:[eax+edx-20],hddled.41BFC4                       "i2<"
003C12FC  push hddled.41AFFC                                                "vector<T> too long"
003C1406  push hddled.41AFFC                                                "vector<T> too long"
003C1531  mov dword ptr ds:[esi+eax],hddled.41BFC4                          "i2<"
003C1581  mov dword ptr ds:[esi+eax],hddled.41BFD4                          "a2<"
003C241F  mov edx,hddled.41BCF8                                             L"\r\n"
003C25FC  mov edx,hddled.41BD00                                             L"registerClassEx atom = "
003C273C  mov edx,hddled.41BF80                                             L"RegisterWorkerWndClass atom = "
003C2BF8  mov dword ptr ss:[ebp-28],hddled.41BCD8                           "\r\n"
003C38CE  mov dword ptr ss:[ebp-18],hddled.41B30C                           "bad locale name"
003C3A0B  push hddled.41B30C                                                "bad locale name"
003C3B55  push B0040                                                        "<\r"
003C3E1C  push hddled.41C104                                                L"visible"
003C3F36  push hddled.41C104                                                L"visible"
003C42B4  push hddled.41C114                                                L"tooltips_class32"
003C4833  push hddled.41C138                                                L"Press <Shift> to move all indicators.\nPress <Ctrl> to snap to grid."
003C48AD  push hddled.41C1C0                                                L"\nPlease register this HddLed Indicator version."
003C4F29  push hddled.41B39C                                                L"Software\\HddLed"
003C4F62  push hddled.41B3BC                                                L"name"
003C4FDE  push hddled.41B3C8                                                L"key"
003C52CC  push hddled.41B39C                                                L"Software\\HddLed"
003C5305  push hddled.41B3BC                                                L"name"
003C537F  push hddled.41B3C8                                                L"key"
003C56EC  mov dword ptr ss:[esp+2C],hddled.41B9DC                           L"HDDLEDIndicator"
003C57D9  mov dword ptr ss:[ebp+eax-BC],hddled.41C00C                       "Y2<"
003C5A96  push hddled.41C220                                                L"%s - %s\r\n Data Read: %s "
003C5ADA  push hddled.41C278                                                L"%s \r\n Data Read: %s "
003C5B0D  push hddled.41C254                                                L" \tData Write: %s "
003C5D26  push hddled.41BCF8                                                L"\r\n"
003C5D61  push hddled.41BCF8                                                L"\r\n"
003C5DBD  push hddled.41C0B4                                                L"\\Device\\KeyboardClass0"
003C5DC2  push hddled.41C0E4                                                L"Kbd"
003C5DE7  push hddled.41C0EC                                                L"\\\\.\\Kbd"
003C6224  push hddled.41AFFC                                                "vector<T> too long"
003C6284  push hddled.41AFFC                                                "vector<T> too long"
003C6C18  mov dword ptr ds:[esi],hddled.40E47C                              "p?;"
003C6C63  mov dword ptr ds:[esi],hddled.41C304                              "`m<"
003C6D0D  push hddled.41C2AC                                                L"Yes"
003C6D33  push hddled.41C2B4                                                L"No"
003C6DB2  mov dword ptr ds:[edi],hddled.41C304                              "`m<"
003C7015  cmp word ptr ds:[41B99C],cx                                       L"HddLed Indicator"
003C7023  push hddled.41B99C                                                L"HddLed Indicator"
003C704C  cmp word ptr ds:[41B9C0],cx                                       L"settings.ini"
003C705A  push hddled.41B9C0                                                L"settings.ini"
003C7165  cmp word ptr ds:[41B99C],cx                                       L"HddLed Indicator"
003C7173  push hddled.41B99C                                                L"HddLed Indicator"
003C719C  cmp word ptr ds:[41B9C0],cx                                       L"settings.ini"
003C71AA  push hddled.41B9C0                                                L"settings.ini"
003C7361  cmp word ptr ds:[41B9C0],cx                                       L"settings.ini"
003C736F  push hddled.41B9C0                                                L"settings.ini"
003C7C79  push hddled.41C2C0                                                L"%d"
003C7E8F  push hddled.41B070                                                L"%s"
003C82F0  push hddled.41AFE0                                                "invalid vector<T> subscript"
003C8436  push hddled.41AFE0                                                "invalid vector<T> subscript"
003C84D7  push hddled.41AFE0                                                "invalid vector<T> subscript"
003C8539  push hddled.41C2C0                                                L"%d"
003C86FD  push hddled.41B070                                                L"%s"
003C89C0  push hddled.41AFE0                                                "invalid vector<T> subscript"
003C8A0E  push hddled.41AFE0                                                "invalid vector<T> subscript"
003C8CC7  push hddled.41C2C8                                                L"\n[%s]\n"
003C8E09  push hddled.41C2D8                                                L"%s%s%s\n"
003C8F16  push hddled.41AFE0                                                "invalid vector<T> subscript"
003C903F  push hddled.41C2E8                                                L"*.*"
003C90CE  push hddled.41C2F0                                                L"%s.%.3d"
003C969C  mov dword ptr ds:[eax+esi-78],hddled.41BFD4                       "a2<"
003C96D2  mov dword ptr ds:[eax+esi-78],hddled.41BFC4                       "i2<"
003CA60D  push hddled.41B284                                                "string too long"
003CA617  push hddled.41B284                                                "string too long"
003CAEAC  mov dword ptr ss:[ebp-20],hddled.41B300                           "bad cast"
003CB079  push hddled.41C358                                                L"Top user processes with most data I/O.\r\nWindows also include some non-disk IO in those numbers.\r\n\r\n"
003CB192  mov edx,hddled.41C420                                             L" Read+Write: "
003CB1E5  mov edx,hddled.41C43C                                             L"\r\n Read: "
003CB238  mov edx,hddled.41C450                                             L";  Write: "
003CB28B  mov edx,hddled.41C468                                             L";  Other: "
003CB2C1  mov edx,hddled.41C480                                             L"\r\n\r\n"
003CB360  push hddled.41C48C                                                L"No processes with data I/O\r\n"
003CB524  push hddled.41C4C8                                                L"Initializing..."
003CB6E2  push hddled.41BCF8                                                L"\r\n"
003CB722  push hddled.41BCF8                                                L"\r\n"
003CB755  push hddled.41C4E8                                                L"Serial Number: %s\r\n"
003CB7BF  push hddled.41C510                                                L"%s\r\n"
003CB804  push hddled.41BCF8                                                L"\r\n"
003CB91D  push hddled.41BCF8                                                L"\r\n"
003CB95F  push hddled.41C480                                                L"\r\n\r\n"
003CBBDA  mov edx,hddled.41C51C                                             L"< 1 kB/s"
003CBC02  mov edx,hddled.41C530                                             L" kB/s"
003CC421  push hddled.41C53C                                                "list<T> too long"
003CC6FE  push hddled.41AFFC                                                "vector<T> too long"
003CC764  push hddled.41AFFC                                                "vector<T> too long"
003CCBD2  push hddled.41C53C                                                "list<T> too long"
003CD31F  push hddled.41C550                                                "map/set<T> too long"
003CDCD8  mov dword ptr ds:[ecx+4],hddled.40E438                            "bad allocation"
003CE128  mov dword ptr ds:[esi],hddled.40E47C                              "p?;"
003CE483  cmp eax,hddled.40ED98                                             "address family not supported"
003CE48A  mov eax,hddled.40EF8C                                             "unknown error"
003CED0B  mov dword ptr ds:[esi],hddled.40E47C                              "p?;"
003CED39  mov dword ptr ds:[esi],hddled.40E47C                              "p?;"
003CEE2E  mov edx,hddled.41B528                                             "eE"
003CEE38  mov edx,hddled.41B52C                                             "pP"
003CF3F2  push hddled.40F094                                                "0123456789-+Ee"
003CF54A  mov al,byte ptr ds:[eax+40F094]                                   "0123456789-+Ee"
003CF69D  mov al,byte ptr ds:[eax+40F094]                                   "0123456789-+Ee"
003CF7B4  mov al,byte ptr ds:[eax+40F094]                                   "0123456789-+Ee"
