Found strings are
Address    Disassembly                               Text string
0040DE7A   PUSH 004A1A44                             ASCII "Appliances"
0040DE9E   PUSH 004A1A3C                             ASCII "Body"
0040DEC2   PUSH 004A1A34                             ASCII "City"
0040DEE6   PUSH 004A1A2C                             ASCII "Clothes"
0040DF0A   PUSH 004A1A24                             ASCII "Dining"
0040DF2E   PUSH 004A1A1C                             ASCII "Family"
0040DF52   PUSH 004A1A14                             ASCII "Farm"
0040DF76   PUSH 004A1A0C                             ASCII "Food"
0040DF9A   PUSH 004A1A00                             ASCII "Furniture"
0040DFBE   PUSH 004A19F4                             ASCII "Hardware"
0040DFE2   PUSH 004A19EC                             ASCII "Health"
0040E006   PUSH 004A19E4                             ASCII "House"
0040E02A   PUSH 004A19DC                             ASCII "Kitchen"
0040E04E   PUSH 004A19D4                             ASCII "Leisure"
0040E072   PUSH 004A19CC                             ASCII "Nature"
0040E096   PUSH 004A19C0                             ASCII "Occupations"
0040E0BA   PUSH 004A19B8                             ASCII "Office"
0040E0DE   PUSH 004A19A8                             ASCII "Personal Care"
0040E102   PUSH 004A19A0                             ASCII "School"
0040E126   PUSH 004A1990                             ASCII "Transportation"
0040E14A   PUSH 004A1980                             ASCII "Useful Words"
0040E32F   ADD EDX,0048AFEC                          ASCII "actor"
0040EDFD   MOV EDI,004A20C4                          ASCII "sms"
0040EE27   MOV ESI,004A20C4                          ASCII "sms"
0040EE50   PUSH 004A1920                             ASCII "Show Me Spelling"
0040EFBA   MOV EDI,004A20B4                          ASCII "allwords.omt"
0040EFE7   MOV ESI,004A20B4                          ASCII "allwords.omt"
0040F020   MOV EDI,004A20A4                          ASCII "allwords.dat"
0040F04D   MOV ESI,004A20A4                          ASCII "allwords.dat"
0040F086   MOV EDI,004A2098                          ASCII "sampler.omt"
0040F0B3   MOV ESI,004A2098                          ASCII "sampler.omt"
0040F0EC   MOV EDI,004A208C                          ASCII "sampler.dat"
0040F119   MOV ESI,004A208C                          ASCII "sampler.dat"
0040F354   MOV EDI,004A2068                          ASCII "Error: allwords.dat file missing."
0040F38D   MOV ESI,004A2068                          ASCII "Error: allwords.dat file missing."
0040F3BE   MOV EDI,004A1AA0                          ASCII "My Spelling List"
0040F3DD   PUSH 004A1AA0                             ASCII "My Spelling List"
00412BDD   PUSH 004A220C                             ASCII "C:\Projects\Sprite Class Library\Sources\OMT\OMediaPeriodical.cpp"
0041324B   MOV DWORD PTR DS:[ESI],0049390C           ASCII "p4A"
004132CC   MOV DWORD PTR DS:[ESI],0049390C           ASCII "p4A"
0041330F   MOV DWORD PTR DS:[ESI],0049390C           ASCII "p4A"
00413753   MOV DWORD PTR DS:[ESI],00493938           ASCII "P9A"
004138D7   MOV DWORD PTR DS:[ESI],00493938           ASCII "P9A"
00413CEF   PUSH 004A2250                             ASCII "fullscreen.txt"
