Found strings are
Address    Disassembly                               Text string
004090E8   MOV ESI,0049D8A4                          ASCII "bancone"
0040912E   MOV EDI,0049D898                          ASCII "ciclista"
00409158   MOV ESI,0049D898                          ASCII "ciclista"
0040919E   MOV EDI,0049D88C                          ASCII "pubblicita'"
004091C8   MOV ESI,0049D88C                          ASCII "pubblicita'"
0040920E   MOV EDI,0049D880                          ASCII "betoniera"
00409238   MOV ESI,0049D880                          ASCII "betoniera"
0040927E   MOV EDI,0049D878                          ASCII "chiesa"
004092A8   MOV ESI,0049D878                          ASCII "chiesa"
004092EE   MOV EDI,0049D870                          ASCII "Chiesa"
00409318   MOV ESI,0049D870                          ASCII "Chiesa"
004093CE   MOV EDI,0049D85C                          ASCII "municipio"
004093F8   MOV ESI,0049D85C                          ASCII "municipio"
0040943E   MOV EDI,0049D840                          ASCII "negozio di abbigliamento"
00409468   MOV ESI,0049D840                          ASCII "negozio di abbigliamento"
004094AE   MOV EDI,0049D830                          ASCII "lavori in corso"
004094D8   MOV ESI,0049D830                          ASCII "lavori in corso"
0040951E   MOV EDI,0049D820                          ASCII "cantiere edile"
00409548   MOV ESI,0049D820                          ASCII "cantiere edile"
0040958E   MOV EDI,0049D80C                          ASCII "strisce pedonali"
004095B8   MOV ESI,0049D80C                          ASCII "strisce pedonali"
004095FE   MOV EDI,0049D800                          ASCII "deviazione"
00409628   MOV ESI,0049D800                          ASCII "deviazione"
0040966E   MOV EDI,0049D7F4                          ASCII "ambulatorio"
00409698   MOV ESI,0049D7F4                          ASCII "ambulatorio"
0040974E   MOV EDI,0049D7DC                          ASCII "autista"
00409778   MOV ESI,0049D7DC                          ASCII "autista"
004097BE   MOV EDI,0049D7D0                          ASCII "sempreverdi"
004097E8   MOV ESI,0049D7D0                          ASCII "sempreverdi"
0040982E   MOV EDI,0049D7C4                          ASCII "oculista"
00409858   MOV ESI,0049D7C4                          ASCII "oculista"
0040989E   MOV EDI,0049D7BC                          ASCII "idrante"
004098C8   MOV ESI,0049D7BC                          ASCII "idrante"
0040990E   MOV EDI,0049D7A8                          ASCII "vigili del fuoco"
00409938   MOV ESI,0049D7A8                          ASCII "vigili del fuoco"
0040997E   MOV EDI,0049D79C                          ASCII "autopompa"
004099A8   MOV ESI,0049D79C                          ASCII "autopompa"
004099EE   MOV EDI,0049D790                          ASCII "superstrada"
00409A18   MOV ESI,0049D790                          ASCII "superstrada"
00409A5E   MOV EDI,0049D784                          ASCII "giardiniere"
00409A88   MOV ESI,0049D784                          ASCII "giardiniere"
00409ACE   MOV EDI,0049D770                          ASCII "pompa di benzina"
00409AF8   MOV ESI,0049D770                          ASCII "pompa di benzina"
00409B3E   MOV EDI,0049D760                          ASCII "distributore"
00409B68   MOV ESI,0049D760                          ASCII "distributore"
00409BAE   MOV EDI,0049D758                          ASCII "serra"
00409BD8   MOV ESI,0049D758                          ASCII "serra"
00409C1E   MOV EDI,0049D748                          ASCII "supermercato"
00409C48   MOV ESI,0049D748                          ASCII "supermercato"
00409C8E   MOV EDI,0049D73C                          ASCII "ospedale"
00409CB8   MOV ESI,0049D73C                          ASCII "ospedale"
00409CFE   MOV EDI,0049D734                          ASCII "tombino"
00409D28   MOV ESI,0049D734                          ASCII "tombino"
00409D6E   MOV EDI,0049D72C                          ASCII "Aceri"
00409D98   MOV ESI,0049D72C                          ASCII "Aceri"
00409DDE   MOV EDI,0049D71C                          ASCII "spartitraffico"
00409E08   MOV ESI,0049D71C                          ASCII "spartitraffico"
00409E4E   MOV EDI,0049D710                          ASCII "immissione"
00409E78   MOV ESI,0049D710                          ASCII "immissione"
00409EBE   MOV EDI,0049D708                          ASCII "Uffici"
00409EE8   MOV ESI,0049D708                          ASCII "Uffici"
00409F2E   MOV EDI,0049D700                          ASCII "edicola"
00409F58   MOV ESI,0049D700                          ASCII "edicola"
00409F9E   MOV EDI,0049D708                          ASCII "Uffici"
00409FC8   MOV ESI,0049D708                          ASCII "Uffici"
0040A00E   MOV EDI,0049D6F8                          ASCII "Rampa"
0040A038   MOV ESI,0049D6F8                          ASCII "Rampa"
0040A07E   MOV EDI,0049D6EC                          ASCII "posteggio"
0040A0A8   MOV ESI,0049D6EC                          ASCII "posteggio"
0040A0EE   MOV EDI,0049D6E0                          ASCII "parchimetro"
0040A118   MOV ESI,0049D6E0                          ASCII "parchimetro"
0040A15E   MOV EDI,0049D6D4                          ASCII "parcheggio"
0040A188   MOV ESI,0049D6D4                          ASCII "parcheggio"
0040A1C3   PUSH 0049D6C8                             ASCII "passeggero"
0040A1EB   PUSH 0049D6B4                             ASCII "telefono pubblico"
0040A213   PUSH 0049D6AC                             ASCII "pedone"
0040A23B   PUSH 0049D698                             ASCII "segnale pedonale"
0040A263   PUSH 0049D68C                             ASCII "farmacia"
0040A28B   PUSH 0049D684                             ASCII "colonna"
0040A2B3   PUSH 0049D670                             ASCII "auto della polizia"
0040A2DB   PUSH 0049D660                             ASCII "commissariato"
0040A303   PUSH 0049D654                             ASCII "ristorante"
0040A32B   PUSH 0049D64C                             ASCII "Scuola"
0040A353   PUSH 0049D638                             ASCII "segnale stradale"
0040A37B   PUSH 0049D630                             ASCII "Stato"
0040A3A3   PUSH 0049D624                             ASCII "semaforo"
0040A3CB   PUSH 0049D614                             ASCII "segnale di stop"
0040A3F3   PUSH 0049D60C                             ASCII "negozio"
0040A41B   PUSH 0049D604                             ASCII "strada"
0040A443   PUSH 0049D5F8                             ASCII "lampione"
0040A46B   PUSH 0049D5E8                             ASCII "metropolitana"
0040A4BB   PUSH 0049D5D4                             ASCII "terrazza"
0040A4E3   PUSH 0049D5CC                             ASCII "treno"
0040A50B   PUSH 0049D5B8                             ASCII "passaggio a livello"
0040A533   PUSH 0049D5AC                             ASCII "autocarro"
0040A55B   PUSH 0049D5A4                             ASCII "furgone"
0040A583   PUSH 0049D598                             ASCII "Occidentale"
0040A5AB   PUSH 0049D58C                             ASCII "lavoratore"
0040A5D3   PUSH 0049D580                             ASCII "precedenza"
0040A5FB   PUSH 0049D578                             ASCII "cortile"
0040A623   PUSH 0049D570                             ASCII "bagno"
0040A64B   PUSH 0049D560                             ASCII "vasca da bagno"
0040A673   PUSH 0049D558                             ASCII "letto"
0040A69B   PUSH 0049D558                             ASCII "letto"
0040A6C3   PUSH 0049D54C                             ASCII "bicicletta"
0040A6EB   PUSH 0049D540                             ASCII "cassettone"
0040A713   PUSH 0049D538                             ASCII "gatto"
0040A73B   PUSH 0049D52C                             ASCII "lampadario"
0040A763   PUSH 0049D520                             ASCII "vasellame"
0040A78B   PUSH 0049D514                             ASCII "tavolino"
0040A7B3   PUSH 0049D504                             ASCII "piano di lavoro"
0040A803   PUSH 0049D4E8                             ASCII "credenza"
0040A82B   PUSH 0049D4E0                             ASCII "tenda"
0040A853   PUSH 0049D4D8                             ASCII "pranzo"
0040A87B   PUSH 0049D4CC                             ASCII "stoviglie"
